Perturbation,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
313,314,ETS2,1.9558099508285522,1.9558099508285522,0.0,True
314,315,MDK,1.9549134969711304,1.9549134969711304,0.0,False
315,316,C16orf87,1.951906681060791,1.951906681060791,0.0,False
316,317,PRKAG3,1.9518524408340454,1.9518524408340454,0.0,False
317,318,MAGEE1,1.9365862607955933,1.9365862607955933,0.0,False
318,319,CCR8,1.9329537153244019,1.9329537153244019,0.0,False
319,320,DBNL,1.9272483587265015,1.9272483587265015,0.0,False
320,321,MAFK,1.9230259656906128,2.795753240585327,0.4363636374473572,True
321,322,CAPN1,1.9198342561721802,1.9198342561721802,0.0,False
322,323,LOX,1.91863214969635,1.91863214969635,0.0,False
323,324,CTNND1,1.9181427955627441,1.9181427955627441,0.0,False
324,325,ENDOG,1.917592167854309,1.917592167854309,0.0,False
325,326,CES2,1.9128952026367188,1.9128952026367188,0.0,False
326,327,BTK,1.912500023841858,1.912500023841858,0.0,False
327,328,LIMA1,1.9110921621322632,1.9110921621322632,0.0,False
328,329,PLCG1,1.9102613925933838,1.9102613925933838,0.0,False
329,330,TCAF1,1.9094276428222656,1.9094276428222656,0.0,False
330,331,NECTIN3,1.9094276428222656,1.9094276428222656,0.0,False
331,332,CAVIN2,1.9094276428222656,1.9094276428222656,0.0,False
332,333,TMEM47,1.9094276428222656,1.9094276428222656,0.0,False
333,334,NDNF,1.9094276428222656,1.9094276428222656,0.0,False
334,335,IL4R,1.907379150390625,1.907379150390625,0.0,False
335,336,GRK4,1.9061731100082397,1.9061731100082397,0.0,False
336,337,GNB1L,1.9048423767089844,1.9048423767089844,0.0,False
337,338,LRRC16A,1.9022119045257568,1.9022119045257568,0.0,False
338,339,BST2,1.9012765884399414,1.9012765884399414,0.0,False
339,340,GMFG,1.9001046419143677,1.9001046419143677,0.0,False
340,341,ELN,1.8991920948028564,1.8991920948028564,0.0,False
341,342,MMP13,1.8924281597137451,1.8924281597137451,0.0,False
342,343,TMEM102,1.888282299041748,1.888282299041748,0.0,False
343,344,REL,1.8874790668487549,1.8874790668487549,0.0,True
344,345,PRDX2,1.881291389465332,1.881291389465332,0.0,False
345,346,PIK3CB,1.8810389041900635,1.8810389041900635,0.0,False
346,347,LGALS9,1.8800655603408813,1.8800655603408813,0.0,False
347,348,DAPP1,1.8746998310089111,1.8746998310089111,0.0,False
348,349,HTRA2,1.871919870376587,1.871919870376587,0.0,False
349,350,CGN,1.871185064315796,1.871185064315796,0.0,False
350,351,INADL,1.871185064315796,1.871185064315796,0.0,False
351,352,GSR,1.86952543258667,1.86952543258667,0.0,False
352,353,GCLC,1.8693311214447021,1.8693311214447021,0.0,False
353,354,VIM,1.8675661087036133,1.8675661087036133,0.0,False
354,355,IL21R,1.8659658432006836,1.8659658432006836,0.0,False
355,356,hsa-miR-152,1.8651683330535889,1.8651683330535889,0.0,False
356,357,HAX1,1.864905834197998,1.864905834197998,0.0,False
357,358,CCND1,1.863371729850769,1.863371729850769,0.0,False
358,359,RELB,1.8632018566131592,1.8632018566131592,0.0,True
359,360,IRF4,1.853982925415039,3.5812556743621826,0.8636363744735718,True
360,361,MICA,1.8527082204818726,1.8527082204818726,0.0,False
361,362,LCK,1.8435170650482178,1.8435170650482178,0.0,False
362,363,MLLT11,1.8391753435134888,1.8391753435134888,0.0,False
363,364,TRIM4,1.838367223739624,1.838367223739624,0.0,False
364,365,PRKD1,1.834133505821228,1.834133505821228,0.0,False
365,366,LEF1,1.8313117027282715,1.8313117027282715,0.0,True
366,367,OSM,1.8273978233337402,1.8273978233337402,0.0,False
367,368,PDLIM5,1.8233933448791504,1.8233933448791504,0.0,False
368,369,IFITM2,1.8232667446136475,1.8232667446136475,0.0,False
369,370,B2M,1.821531057357788,1.821531057357788,0.0,False
370,371,CKMT1A,1.8206406831741333,1.8206406831741333,0.0,False
371,372,BGLAP,1.8189443349838257,1.8189443349838257,0.0,False
372,373,OPRD1,1.8167117834091187,1.8167117834091187,0.0,False
373,374,ZNF618,1.8135350942611694,1.8135350942611694,0.0,True
374,375,HBEGF,1.8130183219909668,1.8130183219909668,0.0,False
375,376,TMPRSS4,1.8081780672073364,1.8081780672073364,0.0,False
376,377,RGCC,1.8071746826171875,1.8071746826171875,0.0,False
377,378,SCGB3A2,1.8028415441513062,1.8028415441513062,0.0,False
378,379,DKFZp547J036,1.7986021041870117,1.7986021041870117,0.0,False
379,380,EP300,1.7983638048171997,1.7983638048171997,0.0,False
380,381,DMRTA2,1.7969377040863037,1.7969377040863037,0.0,True
381,382,OLIG3,1.7969377040863037,1.7969377040863037,0.0,True
382,383,FCER1G,1.7946285903453827,2.0855376720428467,0.145454540848732,False
383,384,RAC3,1.790453314781189,1.790453314781189,0.0,False
384,385,MAML1,1.789588212966919,1.789588212966919,0.0,False
385,386,LSR,1.7894290685653687,1.7894290685653687,0.0,False
386,387,MAFG,1.7860309481620789,2.5678491592407227,0.3909091055393219,True
387,388,FGFBP1,1.7829203605651855,1.7829203605651855,0.0,False
388,389,FANCC,1.7822519540786743,1.7822519540786743,0.0,False
389,390,CCNG2,1.7782238721847534,1.7782238721847534,0.0,False
390,391,FAN1,1.7775826454162598,1.7775826454162598,0.0,False
391,392,KCNJ8,1.7764594554901123,1.7764594554901123,0.0,False
392,393,ADCYAP1,1.775376558303833,1.775376558303833,0.0,False
393,394,C1RL,1.773460030555725,1.773460030555725,0.0,False
394,395,BDNF 2-5,1.7720959186553955,1.7720959186553955,0.0,False
395,396,OPRK1,1.769652009010315,1.769652009010315,0.0,False
396,397,ZNF404,1.765202283859253,1.765202283859253,0.0,True
397,398,SBSN,1.762904405593872,1.762904405593872,0.0,False
398,399,SIRT1,1.7613060474395752,1.7613060474395752,0.0,False
399,400,VEGFA,1.761255145072937,1.761255145072937,0.0,False
400,401,GPX4,1.7590051889419556,1.7590051889419556,0.0,False
401,402,GPC1,1.7581216096878052,1.7581216096878052,0.0,False
402,403,ISG20,1.7573761940002441,1.7573761940002441,0.0,False
403,404,LYN,1.7538228034973145,1.7538228034973145,0.0,False
404,405,TCP11L2,1.751621127128601,1.751621127128601,0.0,False
405,406,NEUROG1,1.7500460147857666,1.7500460147857666,0.0,True
406,407,THPO,1.7449253797531128,1.7449253797531128,0.0,False
407,408,DMTF1,1.7447530031204224,1.7447530031204224,0.0,True
408,409,CD276,1.7437800168991089,1.7437800168991089,0.0,False
409,410,DOK3,1.742496132850647,1.742496132850647,0.0,False
410,411,WNT9A,1.7422751188278198,1.7422751188278198,0.0,False
411,412,F13A1,1.7406325340270996,1.7406325340270996,0.0,False
412,413,BASH,1.7401072978973389,1.7401072978973389,0.0,False
413,414,hRANKL 3,1.7379478216171265,1.7379478216171265,0.0,False
414,415,CCKAR,1.7378613948822021,1.7378613948822021,0.0,False
415,416,AIF1,1.7358229160308838,1.7358229160308838,0.0,False
416,417,NMI,1.7342472076416016,1.7342472076416016,0.0,False
417,418,IL11,1.7337901592254639,1.7337901592254639,0.0,False
418,419,ID3,1.7314364910125732,1.7314364910125732,0.0,False
419,420,TRADD,1.73044753074646,1.73044753074646,0.0,False
420,421,ELAVL2,1.7302563190460205,1.7302563190460205,0.0,False
421,422,PDGFB,1.7301210165023804,1.7301210165023804,0.0,False
422,423,CD226,1.7296236753463745,1.7296236753463745,0.0,False
423,424,TNFSF13B,1.7275655269622803,1.7275655269622803,0.0,False
424,425,ETV4,1.725195050239563,1.725195050239563,0.0,True
425,426,CD44,1.7238075733184814,1.7238075733184814,0.0,False
426,427,RYK,1.722660779953003,1.722660779953003,0.0,False
427,428,ARHGAP35,1.7226486206054688,1.7226486206054688,0.0,True
428,429,MSR1,1.719773769378662,1.719773769378662,0.0,False
429,430,CEBPD,1.7194955348968506,1.7194955348968506,0.0,True
430,431,PCSK2,1.718291997909546,1.718291997909546,0.0,False
431,432,FZD10,1.717197299003601,1.717197299003601,0.0,False
432,433,TNFSF12,1.7160794734954834,1.7160794734954834,0.0,False
433,434,USP29,1.714858055114746,1.714858055114746,0.0,False
434,435,MAP3K1,1.7113311290740967,1.7113311290740967,0.0,False
435,436,IL27,1.7101891040802002,1.7101891040802002,0.0,False
436,437,SNAI1,1.7090537548065186,1.7090537548065186,0.0,True
437,438,ZIM3,1.7048815488815308,1.7048815488815308,0.0,True
438,439,ANKRD1,1.7004594802856445,1.7004594802856445,0.0,False
439,440,DRD3,1.699446439743042,1.699446439743042,0.0,False
440,441,PLEK,1.6948418617248535,1.6948418617248535,0.0,False
441,442,TIMM17A,1.6931242942810059,1.6931242942810059,0.0,False
442,443,TIMM50,1.6918230056762695,1.6918230056762695,0.0,False
443,444,RORC,1.6885285377502441,1.6885285377502441,0.0,True
444,445,FGFBP2,1.6883087158203125,1.6883087158203125,0.0,False
445,446,PCYOX1L,1.6879435777664185,1.6879435777664185,0.0,False
446,447,PIK3CD,1.6878007650375366,1.6878007650375366,0.0,False
447,448,PVRL1,1.6864478588104248,1.6864478588104248,0.0,False
448,449,GPX7,1.6852186918258667,1.6852186918258667,0.0,False
449,450,TMEFF2,1.6834467649459839,1.6834467649459839,0.0,False
450,451,IFNL3,1.6825429201126099,1.6825429201126099,0.0,False
451,452,CCR9,1.6798235177993774,1.6798235177993774,0.0,False
452,453,PAM16,1.6743792295455933,1.6743792295455933,0.0,False
453,454,SULF2,1.6741902828216553,1.6741902828216553,0.0,False
454,455,STK35,1.6724176406860352,1.6724176406860352,0.0,False
455,456,HCFC1R1,1.6695986986160278,1.6695986986160278,0.0,False
456,457,GSTO1,1.6689497232437134,1.6689497232437134,0.0,False
457,458,CCR3,1.6645255088806152,1.6645255088806152,0.0,False
458,459,TNLG5A,1.663859248161316,1.663859248161316,0.0,False
459,460,ADAR,1.6636300086975098,1.6636300086975098,0.0,False
460,461,GSTA1,1.6626536846160889,1.6626536846160889,0.0,False
461,462,PPA1,1.660463809967041,1.660463809967041,0.0,False
462,463,CBL,1.6578571796417236,1.6578571796417236,0.0,False
463,464,SIGLEC1,1.653701901435852,1.653701901435852,0.0,False
464,465,DOK2,1.6531463861465454,1.6531463861465454,0.0,False
465,466,ALOX5,1.6523263454437256,1.6523263454437256,0.0,False
466,467,FCRL4,1.6516270637512207,1.6516270637512207,0.0,False
467,468,DMRTA1,1.6514458656311035,1.6514458656311035,0.0,True
468,469,FN1,1.6504855155944824,1.6504855155944824,0.0,False
469,470,ANKRD11,1.6485731601715088,1.6485731601715088,0.0,False
470,471,ERBB2IP,1.6482082605361938,1.6482082605361938,0.0,False
471,472,TIMM23,1.6479467153549194,1.6479467153549194,0.0,False
472,473,MGST1,1.647859811782837,1.647859811782837,0.0,False
473,474,ZIM2,1.6477153301239014,1.6477153301239014,0.0,True
474,475,FREM3,1.6473884582519531,1.6473884582519531,0.0,False
475,476,FLT1,1.6443700790405273,1.6443700790405273,0.0,False
476,477,TNFRSF11A,1.6406123638153076,1.6406123638153076,0.0,False
477,478,MAP4K4,1.6402764320373535,1.6402764320373535,0.0,False
478,479,IL23A,1.6319382190704346,1.6319382190704346,0.0,False
479,480,TIMM21,1.6294066905975342,1.6294066905975342,0.0,False
480,481,CRLF2 fusion,1.6280760765075684,1.6280760765075684,0.0,False
481,482,BIRC3,1.6269795894622803,1.6269795894622803,0.0,False
482,483,ATF4,1.6249210834503174,1.6249210834503174,0.0,True
483,484,TNFRSF1B,1.6248201131820679,1.6248201131820679,0.0,False
