Perturbation,gene,dot_product,pearson_correlation,spearman_correlation,perturbation_direction,raw_rank,cluster_mean_score,refined_score,refined_rank
DUPD1_Gain,DUPD1,0.0008321671720986042,0.09628992563111748,0.15105672969966633,gain,76.0,0.12975433783927867,0.0996363668519336,75.0
TRAF3IP2_Gain,TRAF3IP2,0.00517368851445996,0.09534509668810975,0.13904338153503895,gain,77.0,0.12975433783927867,0.09878602080322664,76.0
BTLA_Gain,BTLA,0.0027507531801934893,0.09404484966684529,0.0460511679644049,gain,78.0,0.12975433783927867,0.09761579848408862,77.0
CD247_Gain,CD247,0.006513610080786367,0.07285113831923587,0.08476084538375975,gain,80.0,0.3020985093413387,0.09577587542144615,78.0
IKZF3_Gain,IKZF3,0.00437666326273093,0.08962372804883817,0.08743047830923249,gain,79.0,0.12975433783927867,0.09363678902788222,79.0
TNFRSF9_Loss,TNFRSF9,0.00024313165791352076,0.06991464927601843,0.09232480533926588,loss,81.0,0.3020985093413387,0.09313303528255044,80.0
SOCS1_Loss,SOCS1,0.0009497980297485529,0.05446955538126305,0.06918798665183538,loss,82.0,0.12975433783927867,0.061998033627064617,81.0
CCR10_Gain,CCR10,0.0018484685568270127,0.05016654801306307,-0.03225806451612904,gain,83.0,0.12975433783927867,0.05812532699568462,82.0
ZNF830_Gain,ZNF830,0.0006309579169742543,0.02428924999788266,-0.07230255839822027,gain,85.0,0.3020985093413387,0.05207017593222826,83.0
IL2RG_Gain,IL2RG,0.0011900374665368724,0.019789584429913836,-0.18932146829810906,gain,87.0,0.3020985093413387,0.04802047692105632,84.0
CBLB_Loss,CBLB,-0.0008330542664449188,0.036000152253826315,0.07452725250278089,loss,84.0,0.12975433783927867,0.04537557081237155,85.0
RAN_Gain,RAN,-0.001322941002423075,0.021537490697495408,0.10967741935483873,gain,86.0,0.12975433783927867,0.032359175411673734,86.0
DGKZ_Loss,DGKZ,-0.0006824873829333188,-0.00800606239365579,-0.08787541713014463,loss,89.0,0.3020985093413387,0.023004394779843652,87.0
PAPOLG_Gain,PAPOLG,-0.0010861407255696592,-0.005632547536381291,0.0638487208008899,gain,88.0,0.12975433783927867,0.007906141001184704,88.0
MEF2D_Loss,MEF2D,-0.0004547380770158626,-0.00892680118363727,-0.07541713014460513,loss,90.0,0.12975433783927867,0.004941312718654322,89.0
CLIC1_Gain,CLIC1,7.821242100641287e-05,-0.038122503208879575,0.13014460511679646,gain,92.0,0.3020985093413387,-0.004100401953857753,90.0
CDK2_Gain,CDK2,-0.0009413636268710202,-0.023287454984123702,0.004671857619577309,gain,91.0,0.12975433783927867,-0.007983275701783466,91.0
TMEM222_Loss,TMEM222,-0.0006265672799156828,-0.04418168685967428,-0.03225806451612904,loss,94.0,0.3020985093413387,-0.009553667239572988,92.0
TBX21_Gain,TBX21,-0.004208842444174624,-0.04447457327598122,-0.09766407119021137,gain,96.0,0.3020985093413387,-0.009817265014249232,93.0
SLC10A7_Gain,SLC10A7,-0.0014784646738775055,-0.03884569089694832,0.045161290322580656,gain,93.0,0.12975433783927867,-0.021985688023325626,94.0
CYP27A1_Gain,CYP27A1,-0.002048214553583054,-0.04432242511514905,0.09988876529477199,gain,95.0,0.12975433783927867,-0.02691474881970628,95.0
TRIM21_Gain,TRIM21,-0.0002499198327381196,-0.0648732051014463,-0.08342602892102338,gain,98.0,0.3020985093413387,-0.02817603365716781,96.0
ADA_Gain,ADA,-0.002889448942955692,-0.048263362872082376,-0.043381535038932155,gain,97.0,0.12975433783927867,-0.030461592800946274,97.0
APOBEC3D_Gain,APOBEC3D,-0.007119466076722179,-0.06822248988857978,-0.06251390433815351,gain,99.0,0.3020985093413387,-0.031190389965587935,98.0
HAVCR2_Gain,HAVCR2,-0.0017512510961437131,-0.1026143917009254,-0.06740823136818688,gain,100.0,0.12975433783927867,-0.079377518746905,99.0
APOL2_Gain,APOL2,-0.003154597041185457,-0.1306753853396549,-0.16218020022246946,gain,103.0,0.3020985093413387,-0.08739799587155554,100.0
SOD1_Gain,SOD1,-0.0005872758657051629,-0.11238111920782558,-0.15372636262513908,gain,101.0,0.12975433783927867,-0.08816757350311516,101.0
DGKA_Loss,DGKA,-0.0012143884241258662,-0.11591622406500972,-0.12925472747497221,loss,102.0,0.12975433783927867,-0.09134916787458089,102.0
CEACAM1_Gain,CEACAM1,-0.0034535187002256162,-0.15042581625730658,-0.1937708565072303,gain,104.0,0.3020985093413387,-0.10517338369744206,103.0
LHX6_Gain,LHX6,-0.0024956149198394916,-0.169095195069874,-0.21690767519466078,gain,105.0,0.3020985093413387,-0.12197582462875273,104.0
CTLA4_Gain,CTLA4,-0.008459381815258214,-0.18758419777396246,-0.1448275862068966,gain,107.0,0.3020985093413387,-0.13861592706243236,105.0
IL1RN_Gain,IL1RN,-0.005844795705990397,-0.17930046590042562,-0.1234705228031146,gain,106.0,0.12975433783927867,-0.1483949855264552,106.0
IL2RA_Gain,IL2RA,-0.0031179707240365615,-0.19866813246597148,-0.12035595105672972,gain,108.0,0.12975433783927867,-0.16582588543544646,107.0
GPN3_Gain,GPN3,-0.007013320774983544,-0.21486544518389206,-0.14749721913236932,gain,109.0,0.12975433783927867,-0.180403466881575,108.0
CD200R1_Gain,CD200R1,-0.0026733245756938025,-0.22168538891687006,-0.13904338153503895,gain,110.0,0.12975433783927867,-0.1865414162412552,109.0
ARHGDIB_Gain,ARHGDIB,-0.00955335322774416,-0.22170524414936296,-0.2636262513904339,gain,111.0,-0.346608171876487,-0.23419553692207534,110.0
ALX4_Gain,ALX4,-0.006480230771343288,-0.29627425518781403,-0.3668520578420468,gain,117.0,0.3020985093413387,-0.23643697873489877,111.0
JMJD1C_Gain,JMJD1C,-0.01322511574009498,-0.22687044331149014,-0.27074527252502784,gain,112.0,-0.346608171876487,-0.23884421616798981,112.0
TCEB2_Loss,TCEB2,-0.002100432882145213,-0.30785601996034395,-0.37130144605116805,loss,119.0,0.3020985093413387,-0.24686056703017573,113.0
GATA3_Gain,GATA3,-0.010830809380042973,-0.29618108083683825,-0.29877641824249174,gain,116.0,0.12975433783927867,-0.2535875389692266,114.0
LAG3_Loss,LAG3,-0.003665325671311217,-0.2462005985485162,-0.22135706340378203,loss,113.0,-0.346608171876487,-0.2562413558813133,115.0
MRPL51_Gain,MRPL51,-0.006709420381874846,-0.3103159083514899,-0.2947719688542826,gain,120.0,0.12975433783927867,-0.26630888373241307,116.0
MS4A3_Gain,MS4A3,-0.007300994374762969,-0.2918212677771319,-0.2912124582869856,gain,114.0,-0.346608171876487,-0.2972999581870674,117.0
GRAP_Gain,GRAP,-0.022645997694893533,-0.2941525038135473,-0.34416017797552845,gain,115.0,-0.346608171876487,-0.29939807061984125,118.0
LCP2_Loss,LCP2,-0.007140596313859795,-0.3023741153735705,-0.3815350389321469,loss,118.0,-0.346608171876487,-0.30679752102386215,119.0
CD3D_Loss,CD3D,-0.004981037547569524,-0.31202312184434694,-0.3058954393770857,loss,121.0,-0.346608171876487,-0.3154816268475609,120.0
PDCD1_Loss,PDCD1,-0.0018128011379383805,-0.4114605722705471,-0.42024471635150173,loss,127.0,0.3020985093413387,-0.3401046641093585,121.0
DBI_Gain,DBI,-0.010790222931239726,-0.3931184089788485,-0.3775305895439378,gain,125.0,0.12975433783927867,-0.34083113429703576,122.0
CXCL12_Gain,CXCL12,-0.009760586698468663,-0.345711382661118,-0.2226918798665184,gain,122.0,-0.346608171876487,-0.3458010615826549,123.0
MAP4K1_Gain,MAP4K1,-0.034081373216629844,-0.353795504551939,-0.42335928809788664,gain,123.0,-0.346608171876487,-0.3530767712843938,124.0
MUC1_Gain,MUC1,-0.03818229016726634,-0.3556650168130822,-0.39799777530589553,gain,124.0,-0.346608171876487,-0.3547593323194227,125.0
LAT2_Gain,LAT2,-0.02956593323585376,-0.39618261084401024,-0.46340378197997784,gain,126.0,-0.346608171876487,-0.3912251669472579,126.0
APOBEC3C_Gain,APOBEC3C,-0.021216270623396944,-0.44793472966924447,-0.43003337041156847,gain,128.0,-0.346608171876487,-0.4378020738899687,127.0
P2RY14_Gain,P2RY14,-0.006715332449524354,-0.4522372026572401,-0.35038932146829815,gain,129.0,-0.346608171876487,-0.44167429957916476,128.0
INPPL1_Gain,INPPL1,-0.031046378184589243,-0.4627365414071469,-0.5096774193548388,gain,130.0,-0.346608171876487,-0.4511237044540809,129.0
SLA2_Gain,SLA2,-0.03697216767602266,-0.4681546103186646,-0.5074527252502782,gain,131.0,-0.346608171876487,-0.45599996647444685,130.0
EOMES_Gain,EOMES,-0.05535010965655644,-0.5819576298651997,-0.7361512791991103,gain,132.0,-0.346608171876487,-0.5584226840663284,131.0
ITPKA_Gain,ITPKA,-0.050896599641379,-0.7478203192287053,-0.7686318131256954,gain,134.0,-0.346608171876487,-0.7076991044934835,132.0
