Perturbation,tf_rank,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
456,457,3716,FOXK2,-1.7927730083465576,-1.7927730083465576,0.0,True
457,458,3729,E2F4,-1.7954378128051758,-1.7954378128051758,0.0,True
458,459,3732,GLI3,-1.7959474325180054,-1.7959474325180054,0.0,True
459,460,3744,TLX1,-1.7985559701919556,-1.7985559701919556,0.0,True
460,461,3779,FOXS1,-1.805962085723877,-1.805962085723877,0.0,True
461,462,3784,KDM2B,-1.8072428703308105,-1.8072428703308105,0.0,True
462,463,3793,ZNF197,-1.809046983718872,-1.809046983718872,0.0,True
463,464,3799,ZNF57,-1.8097057342529297,-1.8097057342529297,0.0,True
464,465,3825,ETV6,-1.8148576021194458,-1.8148576021194458,0.0,True
465,466,3826,CPXCR1,-1.8149619102478027,-1.8149619102478027,0.0,True
466,467,3844,RARG,-1.8192014694213867,-1.8192014694213867,0.0,True
467,468,3882,HMGA2,-1.8244845867156982,-1.8244845867156982,0.0,True
468,469,3891,FOXR1,-1.8266270160675049,-1.8266270160675049,0.0,True
469,470,3895,HOXA3,-1.827417254447937,-1.827417254447937,0.0,True
470,471,3903,ARID3A,-1.8291665315628052,-1.8291665315628052,0.0,True
471,472,3932,TCF12,-1.8336284160614014,-1.8336284160614014,0.0,True
472,473,3938,ZNF174,-1.8348921537399292,-1.8348921537399292,0.0,True
473,474,3948,KLF9,-1.8365185260772705,-1.8365185260772705,0.0,True
474,475,3957,ZNF83,-1.8379844427108765,-1.8379844427108765,0.0,True
475,476,3971,MTF2,-1.839996337890625,-1.839996337890625,0.0,True
476,477,3975,ZNF451,-1.8404135704040527,-1.8404135704040527,0.0,True
477,478,3987,ZIC3,-1.8424584865570068,-1.8424584865570068,0.0,True
478,479,3990,MECOM,-1.8425719738006592,-1.8425719738006592,0.0,True
479,480,4002,MYCN,-1.844635009765625,-1.844635009765625,0.0,True
480,481,4018,ZFHX4,-1.8461511135101318,-1.8461511135101318,0.0,True
481,482,4042,ZNF398,-1.849621295928955,-1.849621295928955,0.0,True
482,483,4050,FEZF1,-1.8517534732818604,-1.8517534732818604,0.0,True
483,484,4053,ADNP,-1.8521358966827393,-1.8521358966827393,0.0,True
484,485,4059,ZBTB10,-1.8536224365234375,-1.8536224365234375,0.0,True
485,486,4066,NR1D2,-1.8540390729904175,-1.8540390729904175,0.0,True
486,487,4068,L3MBTL4,-1.8544842004776,-1.8544842004776,0.0,True
487,488,4087,NKRF,-1.8575491905212402,-1.8575491905212402,0.0,True
488,489,4089,NACC2,-1.8588058948516846,-1.8588058948516846,0.0,True
489,490,4092,ZNF740,-1.8595585823059082,-1.8595585823059082,0.0,True
490,491,4100,ZNF24,-1.8605338335037231,-1.8605338335037231,0.0,True
491,492,4113,SKOR1,-1.863455057144165,-1.863455057144165,0.0,True
492,493,4115,ZNF282,-1.8636258840560913,-1.8636258840560913,0.0,True
493,494,4119,ZHX2,-1.8641185760498047,-1.8641185760498047,0.0,True
494,495,4120,YBX3,-1.8641290664672852,-1.8641290664672852,0.0,True
495,496,4133,ZNF648,-1.8643709421157837,-1.8643709421157837,0.0,True
496,497,4145,ZNF134,-1.8645808696746826,-1.8645808696746826,0.0,True
497,498,4148,ZNF558,-1.8648940324783325,-1.8648940324783325,0.0,True
498,499,4158,ZNF232,-1.866572618484497,-1.866572618484497,0.0,True
499,500,4159,SOX6,-1.866661787033081,-1.866661787033081,0.0,True
500,501,4168,PAX6,-1.8675363063812256,-1.8675363063812256,0.0,True
501,502,4205,ZNF395,-1.8728163242340088,-1.8728163242340088,0.0,True
502,503,4209,DNTTIP1,-1.8735347986221313,-1.8735347986221313,0.0,True
503,504,4229,ZSCAN21,-1.8764342069625854,-1.8764342069625854,0.0,True
