"","Embedding_1","Embedding_2","Embedding_3","Embedding_4","Embedding_5","Embedding_6","Embedding_7","Embedding_8","Embedding_9","Embedding_10","Embedding_11","Embedding_12","Embedding_13","Embedding_14","Embedding_15","Embedding_16","Embedding_17","Embedding_18","Embedding_19","Embedding_20","Embedding_21","Embedding_22","Embedding_23","Embedding_24","Embedding_25","Embedding_26","Embedding_27","Embedding_28","Embedding_29","Embedding_30"
"CBLB_Loss",-0.00304888905798722,0.00248029094796691,0.0142135649711039,0.0154063181357952,0.00583327865259781,0.0193760934378725,0.00947812872818714,0.00727128663945517,0.0141511140141971,-0.00134496557143338,0.0124804253832702,-0.00423196534605792,0.00622259226339867,-0.00900783723360721,-0.00479378831321306,-0.00487105187635932,0.00595990998031449,0.0139222769769149,-0.015647389479616,-0.0133880879231468,0.0136237925744486,0.00768211083328057,-0.000991169181980936,0.0130812203797111,0.00553434755009601,-0.0129637707323924,0.00431927012556081,0.00642092485171165,0.00987070985591615,0.00066009830624554
"CBY1_Gain",-0.00501757987656776,-0.000500774807722519,-0.0130113570299824,-0.000398866019066104,0.00345201349396885,6.38795637451442e-05,-0.00446505468767301,-0.0052755046031468,0.0042613785120502,0.000271558800058379,0.00209807797409264,0.0121985341430502,-0.00199564750743123,-0.0128035770844569,0.0070344689453246,-0.00322803843403812,0.0191318875392981,0.00577781997774906,0.00297615165852428,0.00212071937094044,-0.00144608683642385,0.00278107901062586,0.00301719994825424,-0.0387376896751314,-0.00332451026040544,0.002520231568532,-0.0135095379257624,-0.0118084718476003,0.00330252353112958,-0.000664418107200864
"CCR10_Gain",-0.00185572789550501,0.00535140956862498,-0.00742880477028041,-0.00929646825386306,-0.00612202507712073,-0.0142530281265072,-0.00139918072362257,-0.00261328773215245,-0.00920139802461964,0.00281121110343664,-0.015448001986843,0.00723186429947783,-0.00301087491929868,0.00558067348885671,-0.00280336656812894,0.000675506258414964,3.68097407669671e-05,-0.00821329417538508,0.0125144661567305,0.00406884928207613,-0.0178561253146937,-0.00800008716135375,-0.00399341312168682,-0.0221323495530813,-0.0038729078941426,-0.0012969587926916,-0.00591004787191833,0.00117137304133615,-0.0044123418944872,-0.00233092412647218
"CD200R1_Gain",-0.0208994474062938,0.00406197051140871,-0.0435107009243647,0.00178177620618398,-0.00125153715373906,-0.0222192746338271,-0.000261024336902894,-0.00248587645416127,0.00889198389615266,0.000959261030826064,-0.0238848403096199,-0.00429694035325114,0.00701952569243562,-0.016751614093553,-0.00275811228815836,-0.00441565964626902,-0.00760877359914416,-0.00732297818567462,0.00299720699323043,-0.000228779617952936,0.00327071793491149,0.00657807587724151,-0.00200486695038453,0.0176666595098627,-0.0152903709645945,-0.00759143052437833,-0.000660886063830543,-0.0100316744553679,0.0147423725433022,-0.00443233590829008
"CD247_Gain",-0.041055291102213,0.0213976662825136,-0.0330091653647376,0.0833408559069914,-0.00870835319179676,-0.0464549987923865,0.0122588966699208,-0.00530682299651352,0.0260037255053427,0.015258147216895,-0.00787629044669516,-0.0139609364317913,0.0149459156043389,-0.0911480744387589,0.0430323936483439,0.00533520371890536,0.0514235520771905,0.0263321230808894,-0.0208713590952696,0.00482286673641818,-0.0416565462362532,0.0148760372809335,-0.0485641930471448,-0.0287930676750108,-0.00114841916981865,-0.0473385118532415,-0.018755585305831,-0.0691086737256424,-0.0182898752610473,0.00816779816705807
"CD27_Gain",-0.0460684766540252,0.0170851417639074,0.0817645938762749,0.0320820662961063,-0.0308332325745083,0.0125873794452662,-0.0323069599045225,0.0103896658503974,0.0243732009019955,0.00634407307358971,-0.0322807041067348,-0.0811499844479608,0.0410152908963749,-0.0350498282888615,0.0314328585977692,-0.0288551846478298,0.0791767701150412,0.0447536162972688,-0.00249167055863724,-0.00118411867415525,-0.00931669252579549,0.0555206029212095,-0.0355729086072262,-0.142831589952408,0.0129181396854351,-0.0233066349820905,0.00472236080354903,-0.0355450436992356,-0.0556667541725138,0.0106951255514565
"CD28_Gain",-0.0261405957655774,0.015162636538864,0.102324118444489,0.0274575309620963,-0.0162881174486958,0.0531458296295669,0.0366323772403929,0.0188380000802378,0.0264215304567996,-0.0144711908159984,-0.0171853976738122,-0.0545663405623701,0.0329773324231307,-0.0138378161730038,0.0225174174126652,-0.0280969724473026,0.0374450748165448,0.0556865728977654,-0.00412676276949545,-0.0197870501213604,-0.0115429951912827,0.04613293144438,-0.0205533612416022,-0.0601045431362258,0.0219876415406664,-0.0257339927471346,0.022339686503013,0.00539875274731053,-0.0406937030247516,0.0149686088371608
"CD2_Gain",-0.00548027940960818,0.0016716464328789,0.0349202048062354,0.0187147951634355,-0.000591858351502077,0.01440942304772,0.00965510889194732,0.00564265769523706,0.0174908594286084,-0.000791687908214192,-0.00176253012388714,-0.0169358905332611,0.017801418929368,-0.0138783535609643,0.00725348238912664,-0.00324785094996986,0.028476146302482,0.0236018072496089,-0.00985497464750742,-0.00506231396697288,-0.00336274189888969,0.0247422463383323,-0.00868781198307063,-0.0403241872094398,0.0084069598350645,-0.00748276363971621,0.00823004971178927,-0.00228574409965397,-0.0119984034365837,0.0105402026209951
"CD3D_Loss",0.0191217851127691,-0.00193920471044122,-0.0065242021214127,-0.0125330665693191,0.00187171014826655,-0.0175436995968511,-0.00266514748226905,-0.00202302039029518,-0.00570551970982609,0.00323345408446475,-0.00309148604491195,0.021008732094281,-0.0169335673540687,0.0132973351772281,0.00861102549566163,0.0124147153832918,-0.0125084283991136,-0.0118637607941305,0.0144868102914469,-0.0017222486940271,-0.0122962614638362,-0.0163774341344833,0.00204534591108129,-0.01096697072476,0.00895278590420882,-0.0054988196650565,-0.00811972760635874,0.0128038033195164,0.0110538064857612,-0.00696562400429649
"CD5_Loss",-0.00704489520741478,0.00476151791026786,0.0208854501842587,0.0112994443435973,0.00296702896648983,0.0188179895665675,0.0069169199286118,0.00482715315662638,0.0100858129874542,-0.00249006082432234,0.00759027051605576,-0.0181314129441847,0.0112791432524627,-0.00862933474718573,-0.0052948526291958,-0.000615914761803839,0.0112289095781365,0.0176719847974653,-0.0155587331736555,-0.00545530613236054,0.00392050667110349,0.0134422658835855,-0.00352051826018207,0.00337909389130436,0.00465320010165345,-0.00578838139123598,0.000782144216736792,0.00414297872470321,-0.00342446155792051,0.00663215994256371
"CDK1_Gain",-0.0166812157434113,-0.00828434779958905,0.0294140398783504,0.0277846382474,-0.0203864678459347,-0.0245682414410249,0.00932459462926073,0.00899770195191761,0.0176905032317593,0.00912191725406304,0.0317448235626491,0.00619516848533783,0.0124549671023522,-0.0127928553605979,-0.0270604015029264,-0.033307968867275,0.0317093465688094,0.0332933799275812,-0.043635044668643,-0.0193453974986695,0.0449566301309837,0.0222343089023851,0.0121320247087839,-0.00272489718671115,0.00889858891660312,-0.0333709932582558,0.0126303271302637,0.00504035910345473,0.0244016792133169,-0.0143654361050927
"CDK2_Gain",-0.0191464473959059,0.00983845623559318,-5.28742559254169e-05,0.0273138225078583,-0.00853233030065894,0.0164431260898709,0.019980592885986,0.00159478571731597,0.00879026346374303,-0.00340472824609606,0.015338077233173,0.00415263412287459,0.00770978629589081,-0.0204112395411357,0.00646082796156406,-0.00715136844664812,0.00296460390090942,0.0158301290124655,-0.0159424229990691,0.000509961531497538,-0.00213214065879583,0.0121864746557549,-0.000196431251242757,0.00884866714477539,-0.00182614461518824,-0.0151410216465592,-0.00455739051103592,-0.0134461694862694,-0.00163889797404408,0.00196486683562398
"CDKN1B_Loss",-0.00571556553080842,0.00333093911573127,0.0084925412190157,-0.00392111225442572,-0.00486865654423997,-0.01434491092114,-0.00151948897720693,-0.000960388644547253,-0.00211307126414645,0.000483760710519094,-0.00991890396472517,-0.00753343527788644,0.000524084515623994,-0.00571644982466331,0.0051262603192539,0.00397715278706708,-0.00411185245592516,-0.00302656140628752,0.00229910591637695,-0.000245857271519336,-0.00733958704519894,0.00596984253152386,-0.00389234105964283,-0.00438515694586785,0.00398445251796927,-0.00709881608957773,0.00455234096600459,-0.00125173672542467,-0.00734690977976872,0.0048265260838709
"CEACAM1_Gain",-0.00648160601655642,0.0126909209208356,-0.0222518689930439,0.0327752144800292,0.0117980766317083,-0.00966497840773728,0.019892718270421,-0.00630036344130834,0.0131946144159883,0.00022099767294195,0.00610044625484281,0.0019799353968766,-0.00314629657400979,-0.0330779206628601,0.0016236923635006,0.0237403342603809,0.0279042397108343,-0.00374028119775984,-0.0135740819490618,0.00352722268758549,-0.0313605963149005,0.000661642559700542,-0.0248504478691353,-0.0385638276735942,0.0159050008902947,-0.0195132942663299,-0.00239231197370423,-0.0166089718126588,-0.00756807541215999,0.0104318835669094
